,카테고리,유사도,빈도,드라마,코미디,액션,스릴러,로맨스,호러,판타지,미스터리,애니메이션,다큐멘터리,뮤지컬,전쟁,범죄,과학,모험,서부,가족,스포츠,역사,누아르
지도자,스포츠,0.39505443,1,0.17504998,0.22645406,0.20907423,0.08187478,0.16056554,0.079761595,0.12447591,0.06873332,0.15682745,0.26839978,0.17277801,0.28287128,0.18289228,0.2869762,0.23310173,0.14670888,0.3230017,0.39505443,0.31444347,0.21929471
병사,전쟁,0.5303741,1,0.16710564,0.14889656,0.41228205,0.16748548,0.12506804,0.35653612,0.1844246,0.19880334,0.0836991,0.13302076,0.16174369,0.5303741,0.43155774,0.361251,0.35314074,0.41758245,0.50082487,0.1594136,0.33871925,0.19961847
대수,과학,0.4425421,1,0.15730126,0.043086443,0.32978863,0.0005604728,0.06672527,0.31169152,0.19409442,0.13709949,0.14489225,0.059028722,0.12883991,0.3449289,0.31176242,0.4425421,0.35556594,0.3177905,0.418265,0.14185965,0.42819345,0.13205005
축구,스포츠,0.5981644,1,0.3146406,0.33397925,0.5437682,0.21980837,0.27541602,0.5056976,0.40238947,0.22058298,0.39338636,0.33280966,0.30410656,0.49053672,0.42852366,0.55475956,0.51152045,0.52994955,0.53948367,0.5981644,0.5664767,0.30307823
대의,액션,0.33988512,1,0.12437566,0.06813386,0.33988512,0.08715985,0.10032012,0.21298191,0.13241115,0.10055208,0.027397271,0.12128974,0.11719621,0.26417384,0.23137309,0.219572,0.2669668,0.24965404,0.3327689,0.018681327,0.20626913,0.12665181
차원,모험,0.52036995,1,0.1658747,0.17427695,0.5099029,0.10781059,0.1633252,0.4039885,0.3053557,0.23994163,0.20339108,0.18177253,0.04654363,0.3358547,0.38804078,0.4457676,0.52036995,0.23225406,0.48795485,0.10552061,0.37209082,0.2750884
별거,범죄,0.42782107,1,0.22934115,0.30628923,0.37288815,0.20757751,0.3175436,0.29032764,0.17551115,0.10103093,0.10810268,0.1716191,0.14181995,0.37439868,0.42782107,0.30770406,0.27164394,0.1508661,0.40632242,0.020707518,0.17239101,0.2885411
가족,가족,1.0,2,0.30578136,0.34047723,0.42904648,0.23549527,0.38654965,0.45702752,0.3542636,0.3015323,0.22022374,0.33402765,0.27744743,0.48809195,0.4873215,0.49480724,0.5322976,0.40610853,1.0,0.30130476,0.44683713,0.2853784
고려,역사,0.43520463,1,0.20214047,0.13106789,0.3740195,0.1307558,0.22184229,0.3687907,0.2630988,0.12939365,0.12602144,0.101579204,0.18242033,0.37812707,0.3535077,0.2910819,0.38088465,0.42589322,0.43000522,0.08964358,0.43520463,0.21302474
비용,모험,0.43736047,1,0.10760301,0.09273324,0.3621339,0.0146828815,0.075745985,0.26154366,0.043187246,0.057784747,0.113801345,0.13173497,0.08750831,0.41848645,0.42500234,0.3757967,0.43736047,0.14868243,0.4289042,0.1561663,0.33465868,0.14693761
행동,범죄,0.54443145,2,0.13758527,0.19460294,0.4979824,0.1816817,0.22009835,0.37328592,0.18684773,0.22782522,0.19905713,0.16404413,0.060143717,0.42042634,0.54443145,0.44518664,0.48383006,0.2970184,0.5170415,0.22944535,0.40453002,0.28903294
호기심,모험,0.45073646,4,0.28611377,0.26766932,0.16396375,0.22902088,0.29543704,0.19417687,0.32340285,0.42086133,0.29624653,0.24736401,0.30832034,0.1397008,0.21829414,0.34866953,0.45073646,0.05557304,0.2448999,0.20830174,0.12613328,0.07168203
과정,역사,0.5428484,1,0.19234173,0.224564,0.39418092,0.18063858,0.17778437,0.36430836,0.11754005,0.18706623,0.29073203,0.24933109,0.21624532,0.4939717,0.35719782,0.49861684,0.38868195,0.24255303,0.3223733,0.10960963,0.5428484,0.2701634
내부,역사,0.47219247,1,0.19384408,0.2065616,0.32336435,0.10872284,0.12758273,0.29331824,0.13398324,0.2311789,0.15643302,0.22170772,0.013105606,0.3410067,0.40740582,0.32725278,0.32398397,0.27129552,0.4505398,0.18950714,0.47219247,0.23385076
요소,역사,0.49607822,1,0.18731104,0.22200742,0.49264216,0.1389524,0.23500124,0.42059338,0.2586878,0.19486158,0.33814687,0.14398631,0.13884382,0.3452986,0.41080928,0.4633186,0.45577082,0.2682453,0.44246814,0.21282625,0.49607822,0.30409405
마지막,모험,0.36163646,1,0.29549593,0.23548587,0.2840401,0.24913079,0.2879902,0.15959825,0.16115168,0.30917397,0.17329292,0.3173385,0.31061074,0.35913515,0.189011,0.21743898,0.36163646,0.2906943,0.22949009,0.1714424,0.3372511,0.16254719
다음,서부,0.4110434,1,0.18586706,0.20240448,0.39370897,0.13245365,0.20507747,0.32164782,0.15367845,0.12256451,0.21840969,0.22090861,0.13568996,0.38963014,0.25210655,0.34554583,0.4039194,0.4110434,0.34587884,0.14597769,0.38627002,0.22649348
지점,서부,0.48365995,1,0.14415145,0.090240926,0.32038176,0.06445333,0.15244392,0.27661756,0.061629687,0.26530197,0.16292857,0.10339574,0.13113545,0.25034025,0.26999316,0.2712987,0.2883825,0.48365995,0.29914698,0.12407739,0.42136088,0.12544839
선택,모험,0.5107079,1,0.18986546,0.18726845,0.4152662,0.13814943,0.24835628,0.34827706,0.21716881,0.25283778,0.1687291,0.1951725,0.14146848,0.357825,0.3049109,0.34187895,0.5107079,0.3100743,0.47541517,0.14729619,0.4121147,0.20896238
현실,호러,0.51522976,4,0.34165975,0.34321868,0.5040014,0.28920716,0.3630699,0.51522976,0.40673107,0.26784742,0.24108677,0.3187157,0.13885884,0.48150066,0.4987843,0.49818513,0.5111769,0.32942382,0.4652912,0.17261738,0.4891728,0.32805717
실행,액션,0.57561284,2,0.12749827,0.20866132,0.57561284,0.11394027,0.10928231,0.44066986,0.11697292,0.11330745,0.34331828,0.16300428,0.14904936,0.41041207,0.41447785,0.36229423,0.47498572,0.3084575,0.3374367,0.10265642,0.39356866,0.1902332
악조건,전쟁,0.32254896,1,0.15042166,0.2760915,0.24744922,0.1909136,0.16826269,0.21141765,0.1457884,0.06927365,0.07824637,0.28288308,0.077731475,0.32254896,0.25464338,0.14345393,0.2533773,0.18732868,0.28044528,0.19528338,0.11942464,0.14386557
좌절,모험,0.48301435,1,0.15770432,0.16705485,0.33532232,0.16116382,0.19612929,0.37659553,0.14140628,0.2033858,0.09945443,0.11944765,0.1027271,0.47453144,0.38500512,0.28750712,0.48301435,0.258669,0.33789438,0.066511065,0.38177413,0.15764946
도전,모험,0.5282902,1,0.20689026,0.26119086,0.43826744,0.18093036,0.33186844,0.4293776,0.29059374,0.3067921,0.1800429,0.21933144,0.2586529,0.37911636,0.36237738,0.4126682,0.5282902,0.24433768,0.37470815,0.20703395,0.41436696,0.18528223
포함,가족,0.38366807,2,0.06146792,0.079783164,0.2235838,0.026482752,0.057977416,0.22757067,0.11573654,0.09189792,0.1383827,0.094989024,0.050847143,0.2998735,0.29789832,0.24309681,0.2766233,0.27934918,0.38366807,0.09966093,0.3287141,0.12105246
리뷰,호러,0.45721436,3,0.13226585,0.29150236,0.4483742,0.29237473,0.27986336,0.45721436,0.2881386,0.21870534,0.15764156,0.15170148,0.16159268,0.30946064,0.35500193,0.39120707,0.42924404,0.32529715,0.42325613,0.16129777,0.38127702,0.27189592
개봉,전쟁,0.56244016,3,0.4291565,0.29971224,0.48822993,0.36226353,0.35361028,0.52400106,0.3258435,0.3416301,0.36860406,0.39144832,0.38750345,0.56244016,0.3761784,0.34505644,0.47800976,0.42167938,0.38982284,0.109756336,0.4354441,0.4298902
우주선,애니메이션,0.4295141,2,0.31652376,0.29767942,0.31899756,0.27518687,0.26847827,0.258539,0.33296,0.3860383,0.4295141,0.30224815,0.29962525,0.30100343,0.16874652,0.39236927,0.33509457,0.054862905,0.26585415,0.27588898,0.19411716,0.16740894
우주복,과학,0.42939055,1,0.24293377,0.2201814,0.30846664,0.25050923,0.19429052,0.25081506,0.27726114,0.23838678,0.2977844,0.23394404,0.21836565,0.34775904,0.31802788,0.42939055,0.27733997,0.15276952,0.3972537,0.26968372,0.29520836,0.104519926
예전,역사,0.41931692,2,0.2400242,0.20927326,0.33228403,0.1567041,0.15503101,0.28750664,0.23789762,-0.010884952,0.21800385,0.1895732,0.09899459,0.38778672,0.29175475,0.27746806,0.2568846,0.3542604,0.2563829,0.12118576,0.41931692,0.22851816
주홍빛,누아르,0.31021112,1,0.1763804,0.038788486,0.21809618,0.09970936,0.2389668,0.19118235,0.15625608,0.18590851,0.12287238,0.103733346,0.076827966,0.22240692,0.09039494,0.1653523,0.21624228,0.23619522,0.105732985,0.057618085,0.2634915,0.31021112
개인,가족,0.61658067,1,0.12569882,0.121775895,0.36115402,0.1477429,0.19672275,0.2680434,0.20338216,0.101758584,0.12606667,0.17758392,0.11891991,0.3330054,0.44786552,0.41004023,0.43632713,0.23094018,0.61658067,0.2902582,0.3909909,0.18997097
초반,액션,0.48568118,1,0.33366364,0.26100075,0.48568118,0.3211527,0.33254996,0.41238776,0.28512874,0.1579017,0.26953414,0.16773123,0.24050234,0.4729371,0.3188542,0.30096298,0.37698993,0.44842866,0.2614934,0.16158195,0.38954806,0.29759526
정신,과학,0.5683193,1,0.12262392,0.18824059,0.47777805,0.21670596,0.22698832,0.41452396,0.28413624,0.25504827,0.098624624,0.19288595,0.116926305,0.45451578,0.433136,0.5683193,0.41802952,0.26265785,0.5038388,0.25695685,0.4714875,0.24093507
와중,전쟁,0.4374075,2,0.1814181,0.18735537,0.32579455,0.2916929,0.16512285,0.32397127,0.14846455,0.117897056,0.16552849,0.16251114,0.15039286,0.4374075,0.23921783,0.22272745,0.31426242,0.3215977,0.26574537,0.040629745,0.27917868,0.28438613
대원,가족,0.4368339,2,0.2350665,0.09231506,0.3605232,0.14042722,0.15798914,0.29546914,0.15844958,0.1951299,0.16196297,0.22437653,0.13579713,0.35174286,0.33260703,0.30963743,0.37269104,0.31035817,0.4368339,0.09706553,0.3235143,0.169345
시도,범죄,0.4402833,1,0.11335929,0.16942337,0.41130683,0.11782853,0.19272305,0.35499868,0.14066313,0.1696664,0.22511445,0.038458753,0.122554496,0.32545084,0.4402833,0.30757964,0.39597383,0.33840933,0.2917556,0.0741744,0.43200803,0.12999122
와트니,호러,0.39402202,11,0.08514229,0.13725798,0.31156525,0.1537373,0.0518911,0.39402202,0.15047312,0.25270715,0.1446315,0.2059134,0.114516445,0.25073314,0.23240681,0.305867,0.37533107,0.26979908,0.2963737,0.059566416,0.32116044,0.22631328
유지,역사,0.37734586,2,0.048112817,-0.031413592,0.31700152,-0.06911543,0.03535106,0.19744204,0.05433873,0.020568872,0.11011999,0.03983231,0.012908578,0.25201267,0.27086842,0.19266348,0.28381565,0.17257833,0.33498216,0.044369612,0.37734586,0.0989371
장치,액션,0.5640957,1,0.21513993,0.19334853,0.5640957,0.19244768,0.15069029,0.43362737,0.20565306,0.25665578,0.28247026,0.24714446,0.20695007,0.41090092,0.46399236,0.5134737,0.43316567,0.3240822,0.41262767,0.19231182,0.50404346,0.193351
오프라인,스포츠,0.375217,1,0.3074779,0.2725526,0.24433018,0.22173299,0.27860355,0.20897707,0.3667381,0.21238382,0.33488604,0.14674737,0.2986363,0.18597028,0.19623922,0.27083063,0.22647187,0.22785507,0.23194233,0.375217,0.25093618,0.16266774
상태,액션,0.38080207,1,0.13848904,0.031306077,0.38080207,0.12760803,0.14009811,0.25998938,0.14044738,0.14227086,0.050513618,0.14613011,-0.03909124,0.36430746,0.31672457,0.2937068,0.3109542,0.22890924,0.37231153,0.06277397,0.30294394,0.18959345
이상,가족,0.3447586,1,0.03483152,0.005380627,0.25860563,-0.07624575,0.027422654,0.24216926,0.111716405,0.06266035,-0.013504879,-0.0067041116,0.031966478,0.26908973,0.18024074,0.22758931,0.25103673,0.17458348,0.3447586,-0.005930303,0.24651428,0.08994311
지체,범죄,0.42802313,2,0.081303746,0.02903831,0.38463876,0.13852699,0.14896858,0.27039933,0.16734922,0.045086816,0.1699163,0.07493661,0.120392896,0.36639914,0.42802313,0.32135013,0.3543648,0.33501336,0.3519645,0.06857716,0.34730276,0.17227112
시간,모험,0.53619397,2,0.28194523,0.20160389,0.51892,0.17857346,0.23400249,0.40798774,0.20224087,0.2339162,0.23520574,0.3033864,0.2117395,0.48611566,0.3100266,0.48146176,0.53619397,0.34732276,0.46828187,0.11890251,0.47395527,0.25033903
대장,가족,0.4196299,2,0.18811426,0.10649957,0.40709767,0.14287505,0.12593356,0.28682372,0.13052069,0.20173997,0.12198653,0.11695952,0.115898475,0.3934986,0.35432857,0.2812607,0.36966938,0.29097915,0.4196299,0.092775136,0.31624612,0.15327013
팀원,가족,0.4651327,2,0.14318079,0.1578935,0.34650224,0.12617217,0.14952677,0.2658882,0.13730003,0.098331384,0.25293723,0.12886505,0.21341136,0.25385925,0.27909976,0.2891422,0.32980064,0.19300151,0.4651327,0.113528095,0.2931378,0.20032796
임무,전쟁,0.494719,1,0.21555912,0.17998135,0.46964285,0.1937286,0.1745951,0.33423665,0.14675868,0.27453366,0.17759332,0.23266558,0.08567143,0.494719,0.45115554,0.4176795,0.47974715,0.26659283,0.3607424,0.14123084,0.3885149,0.19939756
중단,전쟁,0.50384843,1,0.21181168,0.1922737,0.42422348,0.11200629,0.14988875,0.28737321,0.13013355,0.14854859,0.22301072,0.1973485,0.15027288,0.50384843,0.40519813,0.27801546,0.44048363,0.24656488,0.24147381,0.11737519,0.39288765,0.20700614
혼자,가족,0.4830835,6,0.17749582,0.18472365,0.34477395,0.13007465,0.18283354,0.34407324,0.1882066,0.054526933,0.13931662,0.1500697,0.1656722,0.3090869,0.30728868,0.31349018,0.33574504,0.19763094,0.4830835,0.06422078,0.2346777,0.14941287
얼굴,액션,0.43821734,1,0.22861344,0.10590816,0.43821734,0.10908622,0.22149955,0.26646724,0.18143259,0.17114879,0.22292824,0.19663252,0.14685808,0.37326354,0.33106732,0.2909166,0.30196285,0.25594723,0.41400483,0.08354437,0.40719226,0.33784762
박사,과학,0.58485717,3,0.20677072,0.16888542,0.3770561,0.15365984,0.15238428,0.38849485,0.223603,0.29149663,0.19326854,0.2577828,0.2162579,0.37874502,0.3132487,0.58485717,0.42699248,0.27923003,0.34992465,0.0959159,0.41559917,0.22800092
행성,과학,0.5887573,1,0.24431165,0.17017022,0.4028285,0.18250446,0.21217504,0.4554902,0.34510356,0.37096992,0.3129393,0.29745018,0.20160355,0.5160012,0.36256224,0.5887573,0.5659097,0.3569362,0.5825988,0.14678271,0.46459633,0.28561163
강구,모험,0.30056965,1,0.14698264,0.1376639,0.29641396,0.10363416,0.22292554,0.2429458,0.11374245,0.18809567,0.047210813,0.068837404,0.17458308,0.16602784,0.29280412,0.14655335,0.30056965,0.25154895,0.22020386,-0.021295317,0.21708335,0.16964167
기계,과학,0.64190894,1,0.2380432,0.24562344,0.52922595,0.24135934,0.21558346,0.46426418,0.33239302,0.24206579,0.3199862,0.20548753,0.26255772,0.5177694,0.4139764,0.64190894,0.47764555,0.40907785,0.40787736,0.30744943,0.52334434,0.235212
공학자,과학,0.5232433,1,0.15157852,0.23897381,0.32088637,0.37592968,0.15153365,0.3260547,0.29513568,0.2519828,0.20417432,0.2635472,0.24383794,0.3436643,0.34073007,0.5232433,0.3156999,0.3032672,0.31636903,0.29441616,0.341545,0.2492127
필요,역사,0.35985443,1,0.11811155,0.10075132,0.3536821,0.041487895,0.19484341,0.18688118,0.09461353,0.061025158,0.099815704,0.056811698,0.12181096,0.30388722,0.281978,0.31847638,0.30762714,0.17237863,0.33217648,0.08590472,0.35985443,0.054665614
다양,가족,0.4796248,1,0.11352507,0.17736237,0.39453748,0.020930922,0.14419924,0.37266463,0.20559761,0.18969831,0.29553482,0.15088686,0.15255025,0.34946513,0.4283146,0.37295556,0.45030162,0.29450533,0.4796248,0.26530835,0.39548233,0.30366364
과학,과학,1.0,2,0.36097008,0.35711873,0.53158635,0.31319878,0.31471613,0.5284482,0.44809237,0.4322868,0.3844316,0.37737682,0.28547037,0.57062393,0.5002378,1.0,0.57467186,0.39913478,0.49480724,0.44235113,0.67089677,0.2205155
독백,액션,0.51422477,1,0.291867,0.26163638,0.51422477,0.2823561,0.38498065,0.46100292,0.24116223,0.25184202,0.2461019,0.29622394,0.30391312,0.36971617,0.3852451,0.3025456,0.4765322,0.25738248,0.4054112,-0.0004858088,0.42134672,0.33218998
특유,누아르,0.39780697,1,0.16135885,0.143761,0.32935354,0.15268032,0.25737926,0.36555412,0.28233734,0.1527015,0.2195472,0.019462975,0.14068556,0.2542365,0.25731623,0.2899619,0.30900553,0.25227624,0.26141024,0.1600445,0.33193457,0.39780697
긍정,과학,0.48257664,2,0.22152126,0.244239,0.42055115,0.17822522,0.30825564,0.40888646,0.24095887,0.28604022,0.19954336,0.2029887,0.16957496,0.30408996,0.41439185,0.48257664,0.36763158,0.28173465,0.41141835,0.21034941,0.397534,0.2308692
마인드,로맨스,0.45521435,2,0.36865783,0.4483278,0.40203536,0.3451586,0.45521435,0.3051284,0.3963252,0.33648422,0.34445798,0.23536788,0.42728746,0.12036095,0.21340267,0.24188623,0.23726249,0.091818355,0.18307176,0.29788312,0.104458116,0.24864088
죄책감,가족,0.3981113,1,0.11776679,0.2383413,0.21965821,0.21923494,0.21561864,0.245453,0.193331,0.21583733,0.0401026,0.08154574,0.093902215,0.24540776,0.35972908,0.18821868,0.22192883,0.07764629,0.3981113,0.06956114,0.09451514,0.21070905
이야기,모험,0.4008978,3,0.37895688,0.2979513,0.20459242,0.21313444,0.37206087,0.2805284,0.36908317,0.38481998,0.31709698,0.3514242,0.3144971,0.23967487,0.21749502,0.22654794,0.4008978,0.1629494,0.3051839,0.18939698,0.3758428,0.2703951
장면,액션,0.59992796,2,0.41250622,0.41649035,0.59992796,0.22625268,0.3003178,0.42515174,0.20721042,0.2750216,0.40147254,0.42639974,0.2983294,0.5501926,0.42916015,0.38696623,0.42857704,0.33518225,0.3725487,0.27480748,0.5368563,0.32145953
호흡,액션,0.49573812,1,0.20928268,0.25780845,0.49573812,0.23333636,0.26804137,0.35480356,0.20064645,0.2577765,0.19441126,0.24183992,0.30034596,0.3184563,0.35886124,0.41415274,0.4179216,0.18646874,0.39460126,0.24072674,0.39948612,0.20760824
존경,가족,0.42401013,1,0.12856485,0.10099814,0.37581152,0.008865369,0.11679137,0.25191173,0.11006896,0.07373047,0.1101452,0.2126333,0.15950432,0.34712413,0.31960112,0.32168967,0.29021376,0.2554324,0.42401013,0.1325976,0.3810487,0.2794778
당사자,가족,0.3883569,1,0.16969395,0.11569918,0.13034448,0.22499998,0.2583739,0.092737325,0.1801094,0.13883056,0.19888456,0.13862917,0.19622199,0.2016334,0.28111002,0.097965874,0.08837025,0.13191272,0.3883569,0.1551623,0.17548774,0.20876415
당장,전쟁,0.3177957,1,0.15009007,0.087932125,0.31535324,0.11342112,0.10107094,0.23467715,0.09152638,0.05879071,0.06521331,0.06476705,0.08965978,0.3177957,0.242945,0.25855613,0.29038182,0.24964142,0.20294243,0.034442086,0.20257233,0.091659114
문제,과학,0.5187024,11,0.16331106,0.14662519,0.32225126,0.08182288,0.081874505,0.31717953,0.08366763,0.17761952,0.16208461,0.20619386,0.04837419,0.48820278,0.4836422,0.5187024,0.41571665,0.21227533,0.45118284,0.1155224,0.49439704,0.05402118
해결,역사,0.43470478,8,0.07687257,0.10280171,0.36678863,0.0754473,0.1076652,0.33427006,0.051717836,0.14839914,0.16498658,0.11084331,0.002085387,0.3789976,0.42311496,0.39950445,0.4320231,0.21642949,0.38372347,0.0057848557,0.43470478,0.08120511
허용,액션,0.3728283,1,0.07644268,0.15125994,0.3728283,0.04167337,0.113101184,0.23859164,0.12335295,0.02322824,0.111061245,0.029634457,0.002352161,0.29097125,0.34581524,0.25948533,0.28936994,0.17558527,0.27007705,0.09021167,0.32507378,0.13391566
부분,역사,0.47473904,1,0.21766141,0.122223586,0.34572846,0.0477567,0.09095164,0.23218665,0.13204736,0.17983903,0.25627953,0.2208389,0.19822983,0.323105,0.30368713,0.29485038,0.28197643,0.3199658,0.29380032,0.10940228,0.47473904,0.15541938
교육,과학,0.7116166,1,0.35305193,0.34451815,0.5123731,0.16430028,0.20942217,0.47211346,0.29781875,0.17718697,0.42021272,0.417362,0.3517637,0.5348816,0.42828926,0.7116166,0.48966134,0.40552932,0.49619338,0.44332364,0.63672173,0.2011954
인상,모험,0.45819125,1,0.09896484,0.17965414,0.44070995,0.08285025,0.22817369,0.3827075,0.14298657,0.19455771,0.19154917,0.07846833,0.1432574,0.30513033,0.36662403,0.25907636,0.45819125,0.2582845,0.32437488,0.05135564,0.38172626,0.19473284
불운,범죄,0.5224557,1,0.21691997,0.2405751,0.37888393,0.3209707,0.25822183,0.44640926,0.18771777,0.2982912,0.124673545,0.22374345,0.08842159,0.44353497,0.5224557,0.29438573,0.5171982,0.27439797,0.40697023,0.1537828,0.32427594,0.28065032
생물학자,과학,0.40763393,1,0.18359731,0.1544308,0.13442019,0.20611048,0.14039256,0.18962981,0.26009655,0.3201103,0.21844451,0.30698925,0.2290438,0.18572892,0.14643939,0.40763393,0.22101435,0.21748915,0.2908004,0.21621501,0.25863564,0.26865962
점령,전쟁,0.6067683,1,0.22344734,0.14226857,0.405927,0.17885242,0.14517912,0.35701013,0.16761854,0.09391421,0.18474948,0.23294213,0.12164342,0.6067683,0.36340827,0.25963688,0.3352392,0.5432774,0.30282876,0.13381028,0.41633692,0.3660728
인간,과학,0.6329228,5,0.23067382,0.19592445,0.40384287,0.20102924,0.2292213,0.3875707,0.33330896,0.2850773,0.20998244,0.3381631,0.19688529,0.5057139,0.48940942,0.6329228,0.459036,0.322908,0.55184466,0.21423346,0.5140665,0.249454
하루,가족,0.40185398,3,0.1704739,0.15357244,0.3361801,0.07472402,0.19020045,0.2598734,0.07491443,0.14115925,0.12422963,0.1940167,0.13607715,0.34783623,0.22586277,0.31377137,0.3766066,0.2545778,0.40185398,0.035881147,0.28576577,0.16948101
충실,모험,0.37902394,1,0.081523925,0.108192615,0.34028816,-0.00045135504,0.14790638,0.2951766,0.16686022,0.0886784,0.13018855,0.03125194,0.060406692,0.2651999,0.3102023,0.24167486,0.37902394,0.18889917,0.29721868,0.053883363,0.36078438,0.18722366
전문가,과학,0.38233653,2,0.2683015,0.28897473,0.2028688,0.2439078,0.25372016,0.2307938,0.30096704,0.30242553,0.31799856,0.3138276,0.28417522,0.13449062,0.20750554,0.38233653,0.2169078,0.105305955,0.26256484,0.32356527,0.20849884,0.22852704
극찬,호러,0.39550036,2,0.25041807,0.30298102,0.29788643,0.18570304,0.27783024,0.39550036,0.2247766,0.21172352,0.20119974,0.29249552,0.24904278,0.37124488,0.22254896,0.37395176,0.29364082,0.20854971,0.26191258,0.14183265,0.393902,0.30952898
상대,액션,0.43949386,1,0.18170324,0.11954057,0.43949386,0.14872016,0.24146,0.33384803,0.20305787,0.15634611,0.18448992,0.046780486,0.092798695,0.3160258,0.4354185,0.3211977,0.2885434,0.3279458,0.40018535,0.19262579,0.35797578,0.19780858
이론,과학,0.6408021,2,0.24227603,0.24509943,0.40572038,0.15294202,0.2144199,0.4519401,0.22655988,0.22063525,0.25487587,0.31879354,0.22314945,0.42859572,0.42205533,0.6408021,0.44305795,0.29903543,0.42778897,0.27126703,0.5867626,0.34430414
기반,과학,0.5535692,1,0.1786521,0.23309232,0.54162425,0.20159,0.22239865,0.4023668,0.3564003,0.08849563,0.3230544,0.18894185,0.17138785,0.4371577,0.3420719,0.5535692,0.40715924,0.38692898,0.4221626,0.26658818,0.48854557,0.2913221
기본,액션,0.49173376,1,0.045722585,0.1394037,0.49173376,0.04965317,0.14342326,0.3202733,0.20102319,0.08383938,0.18440667,0.06361032,0.054024514,0.28235936,0.2595174,0.42029566,0.3846962,0.1965124,0.34548205,0.18005449,0.44741148,0.21557155
토대,역사,0.46258992,1,0.049699165,0.12006139,0.31431878,0.064119995,0.14025049,0.27517644,0.20360558,0.07784591,0.117204525,0.15574117,0.099430844,0.3341891,0.28610164,0.38053012,0.3103245,0.17846099,0.32139707,0.08907735,0.46258992,0.24121347
구조,역사,0.5471545,2,0.18562175,0.1766285,0.42428175,0.15256676,0.14291175,0.36551756,0.1735823,0.245678,0.25904685,0.26771843,0.06497001,0.38429525,0.4225834,0.44095927,0.40728974,0.30939373,0.47856173,0.17008431,0.5471545,0.21961841
일부,서부,0.4504212,1,0.12228614,0.14362952,0.25305575,0.07685432,0.06874542,0.26851976,0.21120402,0.11532176,0.21129449,0.10459291,0.006262251,0.3756925,0.3082798,0.27937806,0.25820678,0.4504212,0.3304834,0.15403847,0.3844395,0.25088876
얼마,역사,0.3481177,2,0.13280675,0.01755747,0.18444186,0.01576364,0.04545295,0.24667266,0.026875043,-0.0272699,0.038698107,0.17267485,0.1042781,0.3409106,0.09350916,0.2576399,0.19645895,0.272291,0.29931802,0.045972444,0.3481177,0.16967274
조연,액션,0.5364529,2,0.44924754,0.3771429,0.5364529,0.32410148,0.41570356,0.48507863,0.37196067,0.41502526,0.30760768,0.27770093,0.4106126,0.33826435,0.3814442,0.30360454,0.39969346,0.2845578,0.45142365,0.10104215,0.3378465,0.4208283
국내,역사,0.49769914,1,0.36971888,0.24284425,0.36669317,0.21297133,0.23274155,0.38739136,0.30659086,0.17980576,0.34044692,0.35397774,0.33184743,0.44331414,0.37387696,0.43421334,0.34134582,0.4698061,0.37954366,0.33687013,0.49769914,0.26018143
유명,호러,0.5474801,1,0.37817198,0.35868272,0.43648008,0.22722591,0.29711318,0.5474801,0.40339088,0.33814332,0.40269527,0.34577623,0.37833107,0.30721435,0.39342293,0.44019392,0.37690818,0.40659273,0.40197584,0.420297,0.49955472,0.46617615
이유,역사,0.42796385,1,0.17865372,0.17495461,0.30755576,0.06522209,0.18774603,0.3064573,0.14299433,0.12104203,0.12977028,0.1933898,0.20136093,0.41269243,0.36176747,0.3009572,0.3881355,0.16477656,0.37783346,0.13139369,0.42796385,0.1978403
속내,가족,0.35877776,1,0.1640041,0.13257803,0.2998,0.17954718,0.28060073,0.27935725,0.12732522,0.28076032,0.016292898,0.13919128,0.058280706,0.32109427,0.34834406,0.19367972,0.2986433,0.17214239,0.35877776,-0.02337785,0.32173815,0.2923258
예측,범죄,0.4464275,4,0.1744773,0.14681073,0.34063068,0.13831995,0.12312377,0.33581746,0.11901227,0.20794605,0.21462098,0.15610991,0.015754841,0.33433434,0.4464275,0.3981779,0.40809906,0.30712208,0.31199086,0.14339113,0.37691775,0.10783974
가능,역사,0.47121814,3,0.16929235,0.15995383,0.44213158,0.1285975,0.19891347,0.35260677,0.151858,0.16246659,0.16330048,0.079133585,0.13222703,0.39881605,0.37372798,0.35606083,0.4026498,0.31541643,0.4214777,0.1549255,0.47121814,0.14586647
연기,액션,0.568125,1,0.398299,0.39310858,0.568125,0.33060554,0.44487235,0.46543348,0.361298,0.3503268,0.3622275,0.24980646,0.4584394,0.44213292,0.3764908,0.3974535,0.480242,0.31467146,0.3231991,0.16894071,0.3764077,0.33158728
마음,가족,0.5652334,2,0.14024,0.13525814,0.34959596,0.09552537,0.27746904,0.3151903,0.20768532,0.23444012,0.12425109,0.20166746,0.16509628,0.32748595,0.2600954,0.34530324,0.40563065,0.19346355,0.5652334,0.03450647,0.36781657,0.22175026
평점,모험,0.4501408,1,0.26875672,0.22336486,0.43476364,0.33862478,0.28062978,0.4392878,0.29890084,0.17817904,0.21440132,0.19150399,0.18876413,0.2997203,0.33559817,0.36002433,0.4501408,0.26918277,0.38181904,0.18880767,0.31257674,0.3360599
만점,과학,0.403719,1,0.22375052,0.21521729,0.39894477,0.18012907,0.23726383,0.35585466,0.20127343,0.16725792,0.18878879,0.15943982,0.1889958,0.25499836,0.27653685,0.403719,0.37115413,0.25320682,0.33569548,0.09788784,0.32658717,0.18383695
